date,numbers,fetched_at
25/02/2019 to 03/03/2019,"2,6,9,7,5,2,3,0,2,0,0,2,2,1,1,0,4,8,9,1,6,7,9,0,3,6,8,7,1,3,8,0,8,9,0,7,9,1,2,6,2,3,8,3,8,3,6,9,3,4,6,3,6,3,6,7",2026-09-18 13:49:36
04/03/2019 to 10/03/2019,"5,7,7,9,9,2,8,9,2,2,8,2,9,4,6,9,3,3,8,4,5,2,4,9,2,5,6,3,5,3,3,9,4,0,0,4,3,1,5,7,2,4,4,0,0,5,7,8,7,8,0,5,2,2,4,6",2026-09-18 13:49:36
11/03/2019 to 17/03/2019,"4,5,8,7,9,5,6,8,7,7,0,4,8,3,6,9,7,8,9,4,5,2,4,9,3,4,5,2,0,2,4,4,1,6,8,5,0,6,7,7,1,5,5,1,0,4,7,9,1,2,3,6,5,2,6,7",2026-09-18 13:49:36
18/03/2019 to 24/03/2019,"5,9,9,3,1,2,4,5,3,9,9,1,8,2,7,9,1,0,0,1,8,1,1,6,3,7,9,9,0,2,3,5,2,2,0,4,6,2,7,7,2,5,6,3,9,5,5,9",2026-09-18 13:49:36
25/03/2019 to 31/03/2019,"6,7,7,0,8,5,6,7,2,6,9,7,8,3,7,8,2,8,0,0,6,8,9,9,4,6,8,8,3,7,8,8,4,9,0,3,7,5,5,7,5,5,6,6,8,4,4,0,4,6,6,6,6,3,4,9",2026-09-18 13:49:36
01/04/2019 to 07/04/2019,"4,0,0,4,1,2,9,0,7,7,0,4,8,8,0,0,2,3,8,3,2,2,5,5,5,8,8,1,9,3,6,0,5,6,9,0,8,4,5,9,1,1,4,6,8,5,6,7,4,7,8,9,8,1,3,4",2026-09-18 13:49:36
08/04/2019 to 14/04/2019,"1,4,8,3,0,1,3,6,4,7,9,0,6,1,6,9,1,6,7,4,2,1,3,8,6,6,7,9,8,2,6,0,4,6,0,0,4,3,4,7,3,7,0,0,9,2,2,5,1,5,6,2,8,1,3,4",2026-09-18 13:49:36
15/04/2019 to 21/04/2019,"4,5,6,5,8,1,8,9,1,4,6,1,0,3,8,9,4,4,8,6,3,4,9,0,2,7,7,6,9,3,8,8,1,2,3,6,9,2,3,4,2,4,6,2,8,1,2,5,6,6,8,0,6,8,9,9",2026-09-18 13:49:36
22/04/2019 to 28/04/2019,"2,9,0,1,4,3,3,8,4,9,0,3,9,4,6,9,4,4,6,4,6,1,5,0,6,8,9,3,1,1,0,0,3,5,9,7,5,7,8,0,2,7,8,7,6,3,5,8,3,7,8,8,5,2,5,8",2026-09-18 13:49:36
29/04/2019 to 05/05/2019,"2,4,6,2,6,1,6,9,3,9,0,2,5,7,8,0,2,6,7,5,9,5,6,8,8,8,9,5,2,1,1,0,6,6,7,9,8,3,7,8,6,7,9,2,8,1,7,0,2,6,7,5,0,1,3,6",2026-09-18 13:49:36
06/05/2019 to 12/05/2019,"6,8,0,4,3,2,2,9,3,5,9,7,8,1,2,5,5,5,9,9,9,4,6,9,2,2,7,1,1,2,9,0,7,0,0,7,9,3,7,9,1,4,4,9,1,3,3,5,3,3,4,0,0,1,2,7",2026-09-18 13:49:36
13/05/2019 to 19/05/2019,"9,0,0,9,9,1,4,4,3,7,8,8,0,1,3,6,2,5,9,6,9,5,6,8,2,7,0,9,0,3,8,9,1,6,6,3,3,6,8,9,1,6,9,6,9,1,1,7,3,6,8,7,0,4,7,9",2026-09-18 13:49:36
20/05/2019 to 26/05/2019,"1,2,0,3,8,3,5,0,1,3,5,9,4,1,5,8,6,7,9,2,4,3,5,6,6,8,8,2,0,4,7,9,1,4,5,0,4,2,3,9,3,4,4,1,8,6,6,6,2,2,4,8,4,6,8,0",2026-09-18 13:49:36
27/05/2019 to 02/06/2019,"1,3,4,8,1,1,3,7,3,4,8,5,9,2,3,4,4,5,8,7,9,1,1,7,2,6,9,7,7,1,2,4,7,9,0,6,2,5,8,9,1,6,0,7,2,1,4,7,3,6,7,6,2,5,7,0",2026-09-18 13:49:36
03/06/2019 to 09/06/2019,"2,2,9,3,3,2,3,8,2,6,8,6,3,4,4,5,4,4,9,7,7,3,4,0,2,3,6,1,2,2,4,6,1,8,8,7,0,1,4,5,1,1,7,9,2,1,4,7,4,9,9,2,5,7,8,0",2026-09-18 13:49:36
10/06/2019 to 16/06/2019,"5,6,6,7,3,2,4,7,2,0,0,2,1,1,1,9,5,6,0,1,9,3,7,9,6,6,9,1,0,2,9,9,4,8,0,2,0,4,6,0,2,5,6,3,7,3,5,9,3,4,6,3,1,1,2,8",2026-09-18 13:49:36
17/06/2019 to 23/06/2019,"5,6,8,9,7,1,2,4,4,8,9,1,9,2,8,9,2,2,7,1,3,2,3,8,2,4,0,6,6,2,5,9,3,8,0,1,0,5,7,8,4,7,9,0,0,2,3,5,3,5,8,6,2,5,7,0",2026-09-18 13:49:36
24/06/2019 to 30/06/2019,"3,3,7,3,0,1,4,5,1,3,0,4,4,1,3,0,1,2,7,0,8,3,5,0,1,9,0,0,6,1,5,0,1,1,7,9,7,5,6,6,4,7,7,8,9,4,5,0,4,8,9,1,5,1,6,8",2026-09-18 13:49:36
01/07/2019 to 07/07/2019,"1,4,8,3,0,4,7,9,4,4,9,7,5,1,4,0,2,2,5,9,0,2,2,6,5,6,7,8,1,2,4,5,2,5,0,7,3,6,8,9,3,5,5,3,1,6,7,8,4,5,0,9,5,3,4,8",2026-09-18 13:49:36
08/07/2019 to 14/07/2019,"2,6,8,6,7,1,2,4,6,9,9,4,1,5,7,9,2,7,0,9,0,4,6,0,3,5,9,7,3,7,8,8,1,6,9,6,7,2,2,3,2,4,5,1,5,4,4,7,5,6,0,1,8,3,6,9",2026-09-18 13:49:36
15/07/2019 to 21/07/2019,"1,3,5,9,5,2,5,8,2,6,7,5,2,6,8,8,4,6,9,9,2,7,7,8,3,5,5,3,6,8,9,9,5,8,0,3,8,4,5,9,4,6,7,7,7,3,6,8,1,2,0,3,2,3,9,0",2026-09-18 13:49:36
22/07/2019 to 28/07/2019,"1,3,3,7,0,3,8,9,5,6,8,9,8,2,3,3,7,8,0,5,0,4,8,8,1,5,8,4,8,3,7,8,4,5,5,4,4,1,1,2,3,7,8,8,0,6,7,7,1,9,9,9,6,2,4,0",2026-09-18 13:49:36
29/07/2019 to 04/08/2019,"2,7,7,6,4,6,8,0,4,4,5,3,9,5,5,9,2,3,8,3,6,1,7,8,2,9,9,0,3,7,8,8,2,5,9,6,7,1,1,5,2,8,8,8,1,1,5,5,4,7,8,9,4,5,9,0",2026-09-18 13:49:36
05/08/2019 to 11/08/2019,"2,5,7,4,4,2,3,9,1,4,0,5,5,7,8,0,2,8,0,0,4,1,1,2,1,8,9,8,7,3,4,0,4,4,8,6,6,7,9,0,3,9,9,1,1,3,3,5,3,5,9,7,1,6,6,9",2026-09-18 13:49:36
12/08/2019 to 18/08/2019,"3,5,8,6,9,9,0,0,3,6,0,9,9,1,2,6,5,7,0,2,4,2,4,8,1,3,4,8,5,1,7,7,3,6,9,8,4,7,7,0,2,4,4,0,2,3,9,0",2026-09-18 13:49:36
