date,numbers,fetched_at
02/11/2020 to 06/11/2020,"7,9,9,5,3,3,3,7,1,8,0,9,9,1,8,0,4,7,8,9,3,3,0,0,4,5,8,7,4,7,8,9,1,3,8,2,2,2,4,6",2026-09-18 13:49:42
23/11/2020 to 27/11/2020,"4,6,0,0,8,2,3,3,4,7,0,1,4,6,8,0,1,5,7,3,1,6,6,9,2,4,7,3,5,2,6,7,1,3,3,7,3,3,5,5",2026-09-18 13:49:42
30/11/2020 to 04/12/2020,"2,6,7,5,6,4,5,7,4,7,0,1,0,3,8,9,1,5,0,6,0,3,3,4,1,4,8,3,1,2,3,6,4,7,9,0,7,4,5,8",2026-09-18 13:49:42
07/12/2020 to 11/12/2020,"2,6,7,5,6,8,9,9,1,3,0,4,7,2,5,0,2,6,9,7,9,3,7,9,1,3,6,0,8,1,3,4,1,5,8,4,3,5,9,9",2026-09-18 13:49:42
14/12/2020 to 18/12/2020,"6,6,9,1,4,7,7,0,3,4,5,2,4,2,5,7,4,8,9,1,7,4,6,7,1,5,7,3,9,2,3,4,6,7,7,0,4,2,3,9",2026-09-18 13:49:42
21/12/2020 to 25/12/2020,"2,4,5,1,0,1,1,8,6,7,9,2,8,2,6,0,3,5,7,5,6,3,5,8,8,8,9,5,5,1,7,7,2,2,6,0,8,5,6,7",2026-09-18 13:49:42
28/12/2020 to 01/01/2021,"4,6,9,9,3,1,5,7,1,5,6,2,4,1,6,7,1,4,7,2,4,3,3,8,3,7,8,8,9,1,2,6,1,6,0,7,8,4,5,9",2026-09-18 13:49:42
04/01/2021 to 08/01/2021,"2,4,7,3,2,5,8,9,2,4,5,1,3,6,7,0,7,8,0,5,5,7,9,9,6,7,9,2,1,4,7,0,4,5,0,9,9,3,6,0",2026-09-18 13:49:42
11/01/2021 to 15/01/2021,"2,6,7,5,7,2,7,8,4,6,8,8,3,2,4,7,1,2,7,0,2,5,8,9,4,7,9,0,7,2,7,8,3,3,6,2,8,1,1,6",2026-09-18 13:49:42
18/01/2021 to 22/01/2021,"5,9,9,3,8,1,1,6,6,7,0,3,6,3,4,9,1,3,0,4,8,4,5,9,2,7,7,6,0,6,6,8,4,0,0,4,5,7,9,9",2026-09-18 13:49:42
25/01/2021 to 29/01/2021,"2,2,4,8,2,7,7,8,1,2,0,3,2,1,3,8,1,3,4,8,4,4,4,6,2,6,6,4,4,3,5,6",2026-09-18 13:49:42
01/02/2021 to 05/02/2021,"2,5,6,3,9,5,5,9,1,4,0,5,8,1,8,9,1,4,4,9,9,2,8,9,3,7,7,7,2,5,7,0,2,7,9,8,1,1,3,7",2026-09-18 13:49:42
08/02/2021 to 12/02/2021,"8,9,0,7,5,6,9,0,4,4,5,3,3,2,4,7,1,8,9,8,1,2,4,5,8,0,0,8,8,2,6,0,2,9,9,0,9,5,6,8",2026-09-18 13:49:42
15/02/2021 to 19/02/2021,"5,8,0,3,4,3,3,8,3,5,7,5,9,5,7,7,2,6,7,5,9,2,8,9,5,5,0,0,2,2,3,7,4,4,6,4,2,5,8,9",2026-09-18 13:49:42
22/02/2021 to 26/02/2021,"4,9,9,2,8,2,6,0,7,8,0,5,1,1,3,7,2,2,7,1,4,3,5,6,5,5,6,6,4,2,3,9,4,9,0,3,3,2,5,6",2026-09-18 13:49:42
01/03/2021 to 05/03/2021,"2,7,0,9,4,4,0,0,4,7,7,8,1,5,7,9,1,8,9,8,7,4,5,8,2,3,4,9,4,3,5,6,1,5,8,4,7,1,8,8",2026-09-18 13:49:42
08/03/2021 to 12/03/2021,"2,6,6,4,7,4,5,8,4,5,6,5,2,6,8,8,6,6,9,1,7,1,7,9,3,5,6,4,6,2,5,9,4,5,8,7,6,3,6,7",2026-09-18 13:49:42
15/03/2021 to 19/03/2021,"3,5,8,6,1,1,3,7,7,9,0,6,4,3,3,8,3,7,9,9,9,2,7,0,1,1,2,4,0,5,7,8,3,8,8,9,4,2,5,7",2026-09-18 13:49:42
22/03/2021 to 26/03/2021,"4,6,7,7,7,8,9,0,1,7,8,6,5,3,4,8,4,4,8,6,8,1,1,6,3,9,0,2,4,4,4,6,4,6,7,7,1,2,4,5",2026-09-18 13:49:42
29/03/2021 to 02/04/2021,"2,5,6,3,9,5,5,9,2,6,8,6,5,4,5,6,1,1,3,5,5,1,7,7,1,1,4,6,8,8,0,0",2026-09-18 13:49:42
05/04/2021 to 09/04/2021,"3,6,7,6,7,3,5,9,4,7,8,9,3,7,7,9,7,8,9,4,0,4,6,0,2,2,9,3,3,1,5,7,3,8,9,0,6,1,6,9",2026-09-18 13:49:42
12/04/2021 to 16/04/2021,"3,4,7,4,8,2,3,3,3,5,5,3,7,3,5,9,1,3,5,9,3,1,5,7,3,3,8,4,2,1,1,0,2,6,7,5,2,3,9,0",2026-09-18 13:49:42
19/04/2021 to 23/04/2021,"1,1,2,4,3,2,4,7,1,6,0,7,3,3,3,7,7,8,0,5,7,2,2,3,3,6,7,6,8,2,7,9,4,8,0,2,3,1,6,6",2026-09-18 13:49:42
26/04/2021 to 30/04/2021,"3,4,0,7,8,3,6,9,4,5,7,6,3,3,3,7,5,6,9,0,7,2,5,0,2,7,0,9,3,2,4,7,3,9,9,1,5,4,5,6",2026-09-18 13:49:42
03/05/2021 to 07/05/2021,"5,6,0,1,0,2,4,4,7,7,9,3,7,8,9,0,2,6,7,5,9,1,8,0,1,5,8,4,0,1,3,6,3,4,5,2,2,1,3,8",2026-09-18 13:49:42
10/05/2021 to 14/05/2021,"5,6,8,9,1,2,4,5,1,3,9,3,3,3,4,6,1,5,8,4,5,2,6,7,3,7,9,9,3,2,5,6,1,1,7,9,0,4,7,9",2026-09-18 13:49:42
